U,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,U
W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W
B,W,U,U,U,W,B,W,U,U,U,W,B,W,U,U,U,W,B
W,B,U,U,U,B,W,B,U,U,U,B,W,B,U,U,U,B,W
B,W,U,U,U,W,B,W,U,U,U,W,B,W,U,U,U,W,B
W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W
B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B
W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W
B,W,U,U,U,W,B,W,U,U,U,W,B,W,U,U,U,W,B
W,B,U,U,U,B,W,B,U,U,U,B,W,B,U,U,U,B,W
B,W,U,U,U,W,B,W,U,U,U,W,B,W,U,U,U,W,B
W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W
B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B
W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W
B,W,U,U,U,W,B,W,U,U,U,W,B,W,U,U,U,W,B
W,B,U,U,U,B,W,B,U,U,U,B,W,B,U,U,U,B,W
B,W,U,U,U,W,B,W,U,U,U,W,B,W,U,U,U,W,B
W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W
U,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,B,W,U
